Reaction Smiles,Yield /%
NCC1=CC=CC=C1.OC(CCCC1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(CCCc1ccccc1)NCc1ccccc1,68
NCCCCC1=CC=CC=C1.OC(CCCC1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(CCCc1ccccc1)NCCCCc1ccccc1,70
NC1=CC=CC=C1.OC(CCCC1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(CCCc1ccccc1)Nc1ccccc1,46
C1COCCN1.OC(CCCC1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(CCCc1ccccc1)N1CCOCC1,67
NC(C)C1=CC=CC=C1.OC(CCCC1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(NC(=O)CCCc1ccccc1)c1ccccc1,53
NCC1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(NCc1ccccc1)c1ccccc1,50
NCCCCC1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(NCCCCc1ccccc1)c1ccccc1,55
NCCCCC1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(NCCCCc1ccccc1)c1ccccc1,71
NCCCCC1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(NCCCCc1ccccc1)c1ccccc1,75
C1COCCN1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(c1ccccc1)N1CCOCC1,11
C1COCCN1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(c1ccccc1)N1CCOCC1,16
C1COCCN1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>O=C(c1ccccc1)N1CCOCC1,21
NC(C)C1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(NC(=O)c1ccccc1)c1ccccc1,52
NC(C)C1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(NC(=O)c1ccccc1)c1ccccc1,49
NC(C)C1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(NC(=O)c1ccccc1)c1ccccc1,71
NCC1=CC=CC=C1.OC(C(C)(C)C)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(C)(C)C(=O)NCc1ccccc1,15
NCC1=CC=CC=C1.OC(C(C)(C)C)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(C)(C)C(=O)NCc1ccccc1,42
NCC1=CC=CC=C1.OC(C(C)(C)C)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(C)(C)C(=O)NCc1ccccc1,49
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC=CC=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,98
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>ClC1=CC=CC=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,99
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>BrC1=CC=CC=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,99
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>IC1=CC=CC=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,99
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC=CC(F)=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,85
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC=CC(F)=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,42
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>ClC1=CC=CC(Cl)=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,10
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC=CC(I)=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,50
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC=CC(Br)=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,33
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC(F)=CC=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,99
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=CC(F)=CC=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,63
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>FC1=C(F)C(F)=C(F)C(F)=C1B(O)O>O=C(Cc1ccccc1)NCc1ccccc1,11
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>OB(O)C1=C(Br)C=C(F)C(F)=C1>O=C(Cc1ccccc1)NCc1ccccc1,64
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(Cc1ccccc1)NCc1ccccc1,85
NCC1=CC=CC=C1.OC(CC1=CC=CC=C1)=O>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(Cc1ccccc1)NCc1ccccc1,56
